idioma,Opciones,Tematica,ground truth,ano,Nivel,response Gemini 2.0 Flash,response Gemini 2.0 Flash Lite,response Llama 3.2 11B Vision Instruct,response Llama 3.2 90B Vision Instruct,response Pixtral-12B,response Pixtral Large,response Qwen-VL 72B,response GPT-4o,response Qwen-VL 7B,resultado_respuesta_general,resultado_respuesta_final,resultado_respuesta_A,resultado_respuesta_B,resultado_respuesta_C,resultado_respuesta_D,resultado_respuesta_E
castellano,A) B) C) D) E),Geometría y Figuras,E,2024,1,B,B,No Answer,E,No Answer,B,C,C,B,A,A,True,True,True,True,True
castellano,A) 2 B) 3 C) 4 D) 5 E) Pedro no puede completar la tabla,Patrones y Secuencias,E,2024,1,B,B,No Answer,E,B,B,B,E,B,B,B,False,True,True,False,False
castellano,A) 12 B) 16 C) 18 D) 21 E) 22,Geometría y Figuras,C,2024,1,No Answer,E,A,E,D,E,C,D,C,D,C,False,False,True,True,False
castellano,A) 1 B) 2 C) 4 D) 5 E) 7,Patrones y Secuencias,A,2024,1,C,No Answer,A,A,D,B,D,B,C,B,C,False,True,True,True,False
castellano,A) 4 B) 5 C) 6 D) 7 E) 8,Geometría y Figuras,C,2024,1,No Answer,No Answer,No Answer,A,D,C,B,B,C,C,C,False,False,True,True,False
castellano,A) 1 B) 2 C) 3 D) 4 E) 5,Combinatoria y Probabilidad,D,2024,1,A,D,No Answer,No Answer,D,D,B,B,C,D,D,False,False,True,True,False
castellano,A) B) C) D) E),Lógica y Razonamiento Visual,E,2024,1,D,E,No Answer,A,No Answer,D,E,D,A,A,A,False,False,False,False,False
castellano,A) 18 B) 20 C) 24 D) 30 E) 36,Geometría y Figuras,E,2024,1,E,No Answer,C,No Answer,D,C,E,E,C,E,E,False,False,True,True,True
castellano,A) 3 B) 4 C) 5 D) 6 E) 7,Geometría y Figuras,A,2024,1,B,B,B,C,C,E,E,C,B,B,B,False,True,False,False,False
castellano,A) B) C) D) E),Geometría y Figuras,B,2024,2,A,B,A,No Answer,E,A,A,A,D,A,A,True,False,False,False,False
castellano,A) Lo cierto es que ninguna de las cuatro tazas se apoya en su platillo correspondiente. B) Es seguro que hay exactamente una taza en su platillo correspondiente. C) Es imposible que haya exactamente dos tazas en su platillo correspondiente. D) Es imposible que queden exactamente tres tazas en su platillo correspondiente. E) Es imposible que las cuatro tazas estén sobre su platillo correspondiente.,Patrones y Secuencias,D,2024,2,D,A,A,A,E,No Answer,D,E,E,C,C,False,False,True,True,False
castellano,A) 2 B) 3 C) 4 D) 5 E) 6,Patrones y Secuencias,B,2024,2,D,D,No Answer,No Answer,E,C,D,B,D,A,E,False,False,False,False,False
castellano,A) B) C) D) E),Patrones y Secuencias,C,2024,2,D,E,D,A,E,E,C,D,B,D,D,False,False,False,False,False
castellano,A) A B) B C) C D) D E) E,Álgebra y Aritmética Visual,E,2024,2,E,A,No Answer,No Answer,A,C,A,E,A,A,A,True,True,True,True,True
castellano,A) 7 B) 8 C) 9 D) 10 E) 11,Combinatoria y Probabilidad,C,2024,2,D,E,A,No Answer,D,E,B,C,E,E,E,False,True,True,True,True
castellano,A) 36 B) 40 C) 44 D) 48 E) 52,Geometría y Figuras,B,2024,2,E,B,A,No Answer,D,D,B,A,A,D,D,False,True,True,True,False
castellano,A) 26 B) 40 C) 43 D) 47 E) 56,Lógica y Razonamiento Visual,C,2024,2,D,No Answer,A,A,E,E,C,No Answer,E,D,D,False,False,True,True,False
castellano,A) B) C) D) E),Geometría y Figuras,B,2024,2,D,E,C,E,D,C,B,B,A,A,A,True,True,True,True,True
castellano,A) 5 B) 10 C) 15 D) 20 E) Es imposible construirlo,Geometría y Figuras,B,2024,2,A,A,B,No Answer,No Answer,D,A,A,A,A,A,False,False,False,False,False
castellano,A) 10 B) 14 C) 16 D) 18 E) 20,Patrones y Secuencias,E,2024,2,E,No Answer,A,A,C,E,E,D,A,B,B,False,True,True,False,False
castellano,A) B) C) D) E),Geometría y Figuras,B,2024,3,C,No Answer,A,No Answer,D,C,E,A,C,A,A,True,True,True,True,True
castellano,A) 3 B) 4 C) 6 D) 9 E) 12,Geometría y Figuras,C,2024,3,C,C,A,D,C,C,A,C,C,C,C,False,False,True,False,False
castellano,A) Triángulo B) Cuadrado C) Rectángulo D) Romboide E) Pentágono,Combinatoria y Probabilidad,A,2024,3,A,A,No Answer,D,E,C,A,A,A,A,A,False,False,False,False,False
castellano,A) 422 min B) 582 min C) 772 min D) 962 min E) 1042 min,Geometría y Figuras,D,2024,3,D,D,A,C,E,D,E,D,A,C,B,False,False,True,False,False
castellano,A) 110° B) 114° C) 118° D) 122° E) 126°,Geometría y Figuras,E,2024,3,E,B,No Answer,D,C,C,C,E,B,A,B,False,False,False,False,False
castellano,A) B) C) D) E),Geometría y Figuras,C,2024,4,A,A,No Answer,E,E,B,C,D,D,A,A,True,True,True,True,True
castellano,A) 20% B) 25% C) 30% D) 40% E) 50%,Geometría y Figuras,E,2024,4,E,E,No Answer,C,D,E,E,E,E,A,E,False,False,False,False,False
castellano,A) 8 B) 9 C) 11 D) 12 E) 15,Geometría y Figuras,D,2024,4,D,D,C,C,D,D,D,D,C,D,D,False,True,True,True,True
castellano,A) 3 B) 4 C) 6 D) 8 E) 9,Patrones y Secuencias,B,2024,4,No Answer,B,C,C,E,B,B,E,D,C,C,False,False,True,False,False
castellano,A) 5° B) 4° C) 3° D) 2° E) 1°,Geometría y Figuras,B,2024,4,B,B,A,E,C,No Answer,B,B,C,B,B,False,True,True,True,True
castellano,A) 3 B) 4 C) 5 D) 6 E) 7,Combinatoria y Probabilidad,B,2024,4,No Answer,No Answer,C,No Answer,D,B,B,D,C,D,D,False,True,True,True,False
castellano,A) 0 m^2 B) 1 m^2 C) 2 m^2 D) 5 m^2 E) 10 m^2,Geometría y Figuras,A,2024,4,A,A,No Answer,A,D,E,A,A,A,A,A,True,True,True,True,False
castellano,A) 34 B) 40 C) 46 D) 52 E) 58,Geometría y Figuras,D,2024,4,D,B,No Answer,A,No Answer,A,A,A,B,,,,,,,
castellano,A) 60° B) 70° C) 75° D) 90° E) 120°,Geometría y Figuras,D,2024,4,D,No Answer,No Answer,A,D,E,D,D,D,A,A,False,False,False,False,False
castellano,A) 12 B) 24 C) 36 D) 40 E) 48,Patrones y Secuencias,C,2024,5,A,A,No Answer,No Answer,D,C,A,C,A,C,C,False,True,True,True,False
castellano,A) 14 cm B) 15 cm C) 16 cm D) 17 cm E) 18 cm,Geometría y Figuras,B,2024,5,No Answer,No Answer,A,C,A,No Answer,B,B,E,D,D,False,False,True,True,True
castellano,A) 105° B) 110° C) 115° D) 120° E) 125°,Geometría y Figuras,A,2024,5,A,C,No Answer,E,D,No Answer,A,A,A,A,A,False,False,False,False,False
castellano,A) 20 B) 40 C) 80 D) 120 E) 480,Álgebra y Aritmética Visual,B,2024,5,No Answer,No Answer,A,No Answer,E,E,E,C,E,C,C,False,False,True,True,True
castellano,A) √5 B) 1 + √2 C) 5/2 D) 1 + √3 E) 2√2,Lógica y Razonamiento Visual,B,2024,5,B,B,A,E,D,D,D,D,A,C,C,True,True,False,True,True
castellano,A) 90 B) 100 C) 120 D) 140 E) 160,Geometría y Figuras,C,2024,5,C,No Answer,A,No Answer,E,D,B,A,C,A,A,False,False,False,False,False
castellano,A) 5° B) 8° C) 9° D) 10° E) 12°,Geometría y Figuras,E,2024,6,E,E,A,A,D,No Answer,E,A,E,A,E,False,False,False,False,False
castellano,A) 3 B) 4 C) 5 D) 6 E) 7,Patrones y Secuencias,C,2024,6,B,A,No Answer,C,C,B,B,B,B,B,B,False,True,True,True,False
